record_id,contract_id,clause_text,primary_category,all_categories,is_multilabel,matched_keywords,token_count_approx,category_risk_signal,model_confidence,template_deviation_signal,keyword_risk_signal,risk_score,advisor_risk_label,dataset_split,source_type
1,CTR-10001,The indemnifying party will indemnify the other party from covered claims.,Indemnification,Indemnification,False,indemnify,11,1.0,0.68,0.6,0.65,76.6,High,Train,Synthetic
2,CTR-10002,"Upon request, Supplier shall provide a current certificate of insurance. Participation in a non-compete during the term requires prior approval.",Insurance,Insurance|Non-Compete,True,certificate of insurance|non-compete,21,1.0,0.61,0.71,0.71,79.1,High,Train,Synthetic
3,CTR-10003,Each party shall protect confidential information and may disclose it only to personnel with a need to know.,Confidentiality,Confidentiality,False,confidential information,18,0.4,0.79,0.2,0.31,41.0,Low,Train,Synthetic
4,CTR-10004,Either party may terminate this agreement upon 30 days written notice.,Termination,Termination,False,terminate,11,0.6,0.8,0.35,0.39,53.6,Medium,Train,Synthetic
5,CTR-10005,Interpretation shall follow the laws of California.,Governing Law,Governing Law,False,laws of,7,0.2,0.85,0.2,0.16,32.2,Low,Train,Synthetic
6,CTR-10006,"This agreement is exclusive jurisdiction the State of Texas, without regard to conflict-of-law principles.",Governing Law,Governing Law,False,exclusive jurisdiction,16,0.2,0.83,0.09,0.17,29.2,Low,Train,Synthetic
7,CTR-10007,Customer may exercise termination for convenience without cause by providing written notice. Supplier accepts unlimited liability for losses arising from breach of security obligations.,Termination,Termination|Limitation of Liability,True,termination for convenience|unlimited liability,24,0.8,0.71,0.52,0.83,71.8,High,Train,Synthetic
8,CTR-10008,Obligations concerning proprietary information survive termination for 5 years.,Confidentiality,Confidentiality,False,proprietary information,9,0.4,0.85,0.42,0.26,46.7,Medium,Train,Synthetic
9,CTR-10009,Either party may termination for convenience this agreement upon 60 days written notice.,Termination,Termination,False,termination for convenience,13,0.6,0.87,0.27,0.54,56.0,Medium,Train,Synthetic
10,CTR-10010,A party may terminate immediately for an uncured terminate.,Termination,Termination,False,terminate,9,0.6,0.7,0.49,0.41,55.5,Medium,Train,Synthetic
